"variable_name","variable_type","variable_text"
"so_mancheck_d","numeric","As a final question, we are interested in how people form impressions of others based on minimal information. Below is a brief description of a person. Please read the description and try to imagine the described person. We realize that it is not possible to form an accurate impression based on so little information. But here we are interested in your own subjective perception and the type of person that you spontaneously imagine when reading the description. In other words, there are no correct or incorrect answers.

[Field-name_pipe] is [Field-gender_pipe] aged [Field-age_pipe]. [Field-name_pipe] has an educational background that is very different from yours and [Field-pronoun_pipe] does not share any of your personal interests. In other words, [Field-name_pipe] is a person with whom you have little in common.

People can feel close to or far away from ourselves in a psychological sense. When a person feels psychologically close to ourselves, they are said to be ""socially close"". In contrast, when a person feels psychologically removed from ourselves, they are said to be ""socially distant"".

To what extent do you feel socially close or socially distant to [Field-name_pipe]?"
"condition","character","condition"
"followup_order","character","followup_order"
"mancheck","character","mancheck"
"gender_pipe","character","gender_pipe"
"pronoun_pipe","character","pronoun_pipe"
"poss_pronoun_pipe","character","poss_pronoun_pipe"
"verb_pronoun_pipe","character","verb_pronoun_pipe"
"age_pipe","numeric","age_pipe"
"name_pipe","character","name_pipe"
"nonbin_dist","character","nonbin_dist"
"country","character",NA
"national_identity","numeric","Which country best describes your national identity?"
"national_identity","numeric","List of Countries"
"so_bif_01","numeric","1. Think about [Field-name_pipe] making a list"
"so_bif_02","numeric","2. Think about [Field-name_pipe] reading"
"so_bif_03","numeric","3. Think about [Field-name_pipe] joining the Army"
"so_bif_04","numeric","4. Think about [Field-name_pipe] washing clothes"
"so_bif_05","numeric","5. Think about [Field-name_pipe] picking an apple"
"so_bif_06","numeric","6. Think about [Field-name_pipe] chopping down a tree"
"so_bif_07","numeric","7. Think about [Field-name_pipe] measuring a room for carpeting"
"so_bif_08","numeric","8. Think about [Field-name_pipe] cleaning the house"
"so_bif_09","numeric","9. Think about [Field-name_pipe] painting a room"
"so_bif_10","numeric","10. Think about [Field-name_pipe] paying the rent"
"so_bif_11","numeric","11. Think about [Field-name_pipe] caring for house plants"
"so_bif_12","numeric","12. Think about [Field-name_pipe] locking a door"
"so_bif_13","numeric","13. Think about [Field-name_pipe] voting"
"so_bif_14","numeric","14. Think about [Field-name_pipe] climbing a tree"
"so_bif_15","numeric","15. Think about [Field-name_pipe] filling out a personality test"
"so_bif_16","numeric","16. Think about [Field-name_pipe] brushing teeth"
"so_bif_17","numeric","17. Think about [Field-name_pipe] taking a test"
"so_bif_18","numeric","18. Think about [Field-name_pipe] greeting someone"
"so_bif_19","numeric","19. Think about [Field-name_pipe] resisting temptation"
"so_bif_20","numeric","20. Think about [Field-name_pipe] eating"
"so_bif_21","numeric","21. Think about [Field-name_pipe] growing a garden"
"so_bif_22","numeric","22. Think about [Field-name_pipe] traveling by car"
"so_bif_23","numeric","23. Think about [Field-name_pipe] having a cavity filled"
"so_bif_24","numeric","24. Think about [Field-name_pipe] talking to a child"
"so_bif_25","numeric","25. Think about [Field-name_pipe] pushing a doorbell"
"comp_female_1990","numeric","You were previously asked to imagine a person engaging in a series of activities (e.g., making a list, painting a room, brushing teeth). What was the person's name?"
"comp_male_1960","numeric","You were previously asked to imagine a person engaging in a series of activities (e.g., making a list, painting a room, brushing teeth). What was the person's name?"
"comp_female_1960","numeric","You were previously asked to imagine a person engaging in a series of activities (e.g., making a list, painting a room, brushing teeth). What was the person's name?"
"comp_male_1990","numeric","You were previously asked to imagine a person engaging in a series of activities (e.g., making a list, painting a room, brushing teeth). What was the person's name?"
"comp_nonbinary","logical","You were previously asked to imagine a person engaging in a series of activities (e.g., making a list, painting a room, brushing teeth). What was the person's name?"
"l_mancheck_c","numeric","As a final task, please take a moment and imagine that a friend has asked if you can help them move into a new apartment. The friend will only be moving if he is offered a new job he has applied for. The friend thinks there’s a 95% chance that he will be offered the job. In other words, you probably will have to help him move. 

Events can feel more or less close or distant in a psychological sense because they feel more or less likely to happen. An event may feel close because it feels likely to happen. In contrast, an event may feel distant because it feels unlikely to happen.

To what extent does a 95% chance of helping your friend move feel close or distant in terms of likelihood?"
"l_mancheck_d","numeric","As a final task, please take a moment and imagine that a friend has asked if you can help them move into a new apartment. The friend will only be moving if he is offered a new job he has applied for. The friend thinks there’s a 5% chance that he will be offered the job. In other words, you probably won't have to help him move. 

Events can feel more or less close or distant in a psychological sense because they feel more or less likely to happen. An event may feel close because it feels likely to happen. In contrast, an event may feel distant because it feels unlikely to happen.

To what extent does a 5% chance of helping your friend move feel close or distant in terms of likelihood?"
"distance","character","distance"
"sp_c_bif_02","numeric","1. Reading"
"sp_c_bif_04","numeric","2. Washing clothes"
"sp_c_bif_05","numeric","3. Picking an apple"
"sp_c_bif_07","numeric","4. Measuring a room for carpeting"
"sp_c_bif_09","numeric","5. Painting a room"
"sp_c_bif_10","numeric","6. Paying the rent"
"sp_c_bif_12","numeric","7. Locking a door"
"sp_c_bif_14","numeric","8. Climbing a tree"
"sp_c_bif_16","numeric","9. Brushing teeth"
"sp_c_bif_19","numeric","10. Resisting temptation"
"sp_c_bif_20","numeric","11. Eating"
"sp_c_bif_22","numeric","12. Traveling"
"sp_c_bif_23","numeric","13. Having a cavity filled"
"sp_c_bif_01","numeric","Making a list"
"sp_c_bif_03","numeric","Joining the Army"
"sp_c_bif_06","numeric","Chopping down a tree"
"sp_c_bif_08","numeric","Cleaning the house"
"sp_c_bif_11","numeric","Caring for houseplants"
"sp_c_bif_13","numeric","Voting"
"sp_c_bif_15","numeric","Filling out a personality test"
"sp_c_bif_17","numeric","Taking a test"
"sp_c_bif_18","numeric","Greeting someone"
"sp_c_bif_21","numeric","Growing a garden"
"sp_c_bif_24","numeric","Talking to a child"
"sp_c_bif_25","numeric","Pushing a doorbell"
"sp_compcheck_c","numeric","You were previously asked to imagine that you had moved to a new place. Where was this new place located?"
"sp_d_bif_02","numeric","1. Reading"
"sp_d_bif_04","numeric","2. Washing clothes"
"sp_d_bif_05","numeric","3. Picking an apple"
"sp_d_bif_07","numeric","4. Measuring a room for carpeting"
"sp_d_bif_09","numeric","5. Painting a room"
"sp_d_bif_10","numeric","6. Paying the rent"
"sp_d_bif_12","numeric","7. Locking a door"
"sp_d_bif_14","numeric","8. Climbing a tree"
"sp_d_bif_16","numeric","9. Brushing teeth"
"sp_d_bif_19","numeric","10. Resisting temptation"
"sp_d_bif_20","numeric","11. Eating"
"sp_d_bif_22","numeric","12. Traveling"
"sp_d_bif_23","numeric","13. Having a cavity filled"
"sp_c_bif_01.1","numeric","Making a list"
"sp_d_bif_03","numeric","Joining the Army"
"sp_d_bif_06","numeric","Chopping down a tree"
"sp_c_bif_08.1","numeric","Cleaning the house"
"sp_d_bif_11","numeric","Caring for houseplants"
"sp_d_bif_13","numeric","Voting"
"sp_c_bif_15.1","numeric","Filling out a personality test"
"sp_c_bif_17.1","numeric","Taking a test"
"sp_c_bif_18.1","numeric","Greeting someone"
"sp_d_bif_21","numeric","Growing a garden"
"sp_d_bif_24","numeric","Talking to a child"
"sp_c_bif_25.1","numeric","Pushing a doorbell"
"sp_compcheck_d","numeric","You were previously asked to imagine that you had moved to a new place. Where was this new place located?"
"pnas_1","numeric","This scale consists of a number of words that describe different feelings and emotions. Read each item and then mark the appropriate answer in the space next to that word. Indicate to what extent you feel this way right now, that is, at the present moment. - interested"
"pnas_2","numeric","This scale consists of a number of words that describe different feelings and emotions. Read each item and then mark the appropriate answer in the space next to that word. Indicate to what extent you feel this way right now, that is, at the present moment. - distressed"
"pnas_3","numeric","This scale consists of a number of words that describe different feelings and emotions. Read each item and then mark the appropriate answer in the space next to that word. Indicate to what extent you feel this way right now, that is, at the present moment. - excited"
"pnas_4","numeric","This scale consists of a number of words that describe different feelings and emotions. Read each item and then mark the appropriate answer in the space next to that word. Indicate to what extent you feel this way right now, that is, at the present moment. - upset"
"pnas_5","numeric","This scale consists of a number of words that describe different feelings and emotions. Read each item and then mark the appropriate answer in the space next to that word. Indicate to what extent you feel this way right now, that is, at the present moment. - strong"
"pnas_6","numeric","This scale consists of a number of words that describe different feelings and emotions. Read each item and then mark the appropriate answer in the space next to that word. Indicate to what extent you feel this way right now, that is, at the present moment. - guilty"
"pnas_7","numeric","This scale consists of a number of words that describe different feelings and emotions. Read each item and then mark the appropriate answer in the space next to that word. Indicate to what extent you feel this way right now, that is, at the present moment. - scared"
"pnas_8","numeric","This scale consists of a number of words that describe different feelings and emotions. Read each item and then mark the appropriate answer in the space next to that word. Indicate to what extent you feel this way right now, that is, at the present moment. - hostile"
"pnas_9","numeric","This scale consists of a number of words that describe different feelings and emotions. Read each item and then mark the appropriate answer in the space next to that word. Indicate to what extent you feel this way right now, that is, at the present moment. - enthusiastic"
"pnas_10","numeric","This scale consists of a number of words that describe different feelings and emotions. Read each item and then mark the appropriate answer in the space next to that word. Indicate to what extent you feel this way right now, that is, at the present moment. - proud"
"pnas_11","numeric","This scale consists of a number of words that describe different feelings and emotions. Read each item and then mark the appropriate answer in the space next to that word. Indicate to what extent you feel this way right now, that is, at the present moment. - irritable"
"pnas_12","numeric","This scale consists of a number of words that describe different feelings and emotions. Read each item and then mark the appropriate answer in the space next to that word. Indicate to what extent you feel this way right now, that is, at the present moment. - alert"
"pnas_13","numeric","This scale consists of a number of words that describe different feelings and emotions. Read each item and then mark the appropriate answer in the space next to that word. Indicate to what extent you feel this way right now, that is, at the present moment. - ashamed"
"pnas_14","numeric","This scale consists of a number of words that describe different feelings and emotions. Read each item and then mark the appropriate answer in the space next to that word. Indicate to what extent you feel this way right now, that is, at the present moment. - inspired"
"pnas_15","numeric","This scale consists of a number of words that describe different feelings and emotions. Read each item and then mark the appropriate answer in the space next to that word. Indicate to what extent you feel this way right now, that is, at the present moment. - nervous"
"pnas_16","numeric","This scale consists of a number of words that describe different feelings and emotions. Read each item and then mark the appropriate answer in the space next to that word. Indicate to what extent you feel this way right now, that is, at the present moment. - determined"
"pnas_17","numeric","This scale consists of a number of words that describe different feelings and emotions. Read each item and then mark the appropriate answer in the space next to that word. Indicate to what extent you feel this way right now, that is, at the present moment. - attentive"
"pnas_18","numeric","This scale consists of a number of words that describe different feelings and emotions. Read each item and then mark the appropriate answer in the space next to that word. Indicate to what extent you feel this way right now, that is, at the present moment. - jittery"
"pnas_19","numeric","This scale consists of a number of words that describe different feelings and emotions. Read each item and then mark the appropriate answer in the space next to that word. Indicate to what extent you feel this way right now, that is, at the present moment. - active"
"pnas_20","numeric","This scale consists of a number of words that describe different feelings and emotions. Read each item and then mark the appropriate answer in the space next to that word. Indicate to what extent you feel this way right now, that is, at the present moment. - afraid"
"t_c_bif_01","numeric","1. Think about yourself making a list tomorrow"
"t_c_bif_02","numeric","2. Think about yourself reading a book tomorrow"
"t_c_bif_04","numeric","3. Think about yourself washing clothes tomorrow"
"t_c_bif_07","numeric","4. Think about yourself measuring a room for carpeting tomorrow"
"t_c_bif_08","numeric","5. Think about yourself cleaning the house tomorrow"
"t_c_bif_09","numeric","6. Think about yourself painting a room tomorrow"
"t_c_bif_10","numeric","7. Think about yourself paying the rent tomorrow"
"t_c_bif_11","numeric","8. Think about yourself caring for house plants tomorrow"
"t_c_bif_12","numeric","9. Think about yourself locking a door tomorrow"
"t_c_bif_15","numeric","10. Think about yourself filling out a personality test tomorrow"
"t_c_bif_16","numeric","11. Think about yourself brushing teeth tomorrow"
"t_c_bif_17","numeric","12. Think about yourself taking a test tomorrow"
"t_c_bif_18","numeric","13. Think about yourself greeting someone tomorrow"
"t_c_bif_19","numeric","14. Think about yourself resisting temptation tomorrow"
"t_c_bif_20","numeric","15. Think about yourself eating tomorrow"
"t_c_bif_22","numeric","16. Think about yourself traveling by car tomorrow"
"t_c_bif_23","numeric","17. Think about yourself having a cavity filled tomorrow"
"t_c_bif_24","numeric","18. Think about yourself talking to a child tomorrow"
"t_c_bif_25","numeric","19. Think about yourself pushing a doorbell tomorrow"
"t_c_bif_03","numeric","Think about yourself joining the Army tomorrow"
"t_c_bif_05","numeric","Think about yourself picking an apple tomorrow"
"t_c_bif_06","numeric","Think about yourself chopping down a tree tomorrow"
"t_c_bif_13","numeric","Think about yourself voting tomorrow"
"t_c_bif_14","numeric","Think about yourself climbing a tree tomorrow"
"t_c_bif_21","numeric","Think about yourself growing a garden tomorrow"
"t_compcheck","numeric","You were previously asked to imagine engaging in a series of activities (e.g., making a list, painting a room, brushing teeth). When were these events supposed to take place?"
"t_d_bif_01","numeric","1. Think about yourself making a list next year"
"t_d_bif_02","numeric","2. Think about yourself reading a book next year"
"t_d_bif_04","numeric","3. Think about yourself washing clothes next year"
"t_d_bif_07","numeric","4. Think about yourself measuring a room for carpeting next year"
"t_d_bif_08","numeric","5. Think about yourself cleaning the house next year"
"t_d_bif_09","numeric","6. Think about yourself painting a room next year"
"t_d_bif_10","numeric","7. Think about yourself paying the rent next year"
"t_d_bif_11","numeric","8. Think about yourself caring for house plants next year"
"t_d_bif_12","numeric","9. Think about yourself locking a door next yea"
"t_d_bif_15","numeric","10. Think about yourself filling out a personality test next year"
"t_d_bif_16","numeric","11. Think about yourself brushing teeth next year"
"t_d_bif_17","numeric","12. Think about yourself taking a test next year"
"t_d_bif_18","numeric","13. Think about yourself greeting someone next year"
"t_d_bif_19","numeric","14. Think about yourself resisting temptation next year"
"t_d_bif_20","numeric","15. Think about yourself eating next year"
"t_d_bif_22","numeric","16. Think about yourself traveling by car next year"
"t_d_bif_23","numeric","17. Think about yourself having a cavity filled next year"
"t_d_bif_24","numeric","18. Think about yourself talking to a child next year"
"t_d_bif_25","numeric","19. Think about yourself pushing a doorbell next year"
"t_d_bif_03","numeric","Think about yourself joining the Army next year"
"t_d_bif_05","numeric","Think about yourself picking an apple next year"
"t_d_bif_06","numeric","Think about yourself chopping down a tree next year"
"t_d_bif_13","numeric","Think about yourself voting next year"
"t_d_bif_14","numeric","Think about yourself climbing a tree next year"
"t_d_bif_21","numeric","Think about yourself growing a garden next year"
"t_d_compcheck","numeric","You were previously asked to imagine engaging in a series of activities (e.g., making a list, painting a room, brushing teeth). When were these events supposed to take place?"
"s_mancheck_d","numeric","As a final task, please take a moment and imagine that you have moved to a new place just outside of Los Angeles, over 1930 miles away.  

Places can feel close to or far away from ourselves in a psychological sense. Places that feel like they are close to where you are, are said to be “spatially close”. In contrast, places that feel like they are very far away, are said to be “spatially distant”.

To what extent does a place located outside of Los Angeles, over 1930 miles away, feel spatially close or distant?"
