affiliation,lab,lat,long,distant_location,lat_distant,long_distant
Universidade de Lisboa (University of Lisbon),PT_01,38.753,-9.158,,,
ISAP Instituto Universitario,PT_02,38.712,-9.126,,,
"University of Belgrade, Faculty of Philosophy",RS_01,44.818,20.458,Vranja,44.919,19.768
University of Gothenburg,SE_01,57.689,11.954,Kiruna,68.228,20.037
Linköping University,SE_02,58.398,15.576,Kiruna,67.856,20.221
Linnaeus University,SE_03,56.855,14.83,Kiruna,67.856,20.221
James Cook University,SG_01,1.3157,103.875,Tuas,1.295,103.628
"Faculty of Arts, Pavol Jozef Šafárik University in Košice",SK_01,48.721,21.251,Bratislava,48.148,17.117
Istinye University,TR_01,41.015,28.906,Kars,40.6,43.22
Muş Alparslan University,TR_02,38.77,41.427,Edirne,41.678,26.552
Middle East Technical University,TR_03,39.89,32.78,Hakkari,37.592,43.839
Sabanci University,TR_04,40.891,29.378,Van,38.501,43.376
Izmir Bakircay University,TR_05,38.582,26.964,Van,38.501,43.376
Marmara University,TR_06,40.988,29.053,Kars,40.6,43.22
Boğaziçi University & London School of Economics and Political Science,TR_07,51.514,-0.116,Erzurum,39.906,41.268
Chung Yuan Christian University,TW_01,24.959,121.241,Dongsha Islands,20.705,116.84
National Tsing Hua University,TW_02,24.796,120.997,Dongsha Islands,20.705,116.84
University of Utah,US_01,40.929,-111.803,Boston,42.366,-71.062
Northern Illinois University,US_02,41.934,-88.774,Miami,25.759,-80.186
The Pennsylvania State University,US_03,40.798,-77.859,Seattle,47.609,-122.322
University of North Florida,US_04,30.266,-81.507,Seattle,47.609,-122.322
SUNY Plattsburgh,US_05,44.693,-73.4672,Los Angeles,34.061,-118.171
University of Houston,US_06,29.7212,-95.347,Atlanta,33.755,-84.379
Allegheny College,US_07,41.648,-80.145,San Francisco,37.776,-122.401
Wake Forest University,US_08,36.132,-80.278,Los Angeles,34.061,-118.171
"Purchase College, SUNY",US_09,41.049,-73.705,San Francisco,37.776,-122.401
DigiPen Insitute of Technology,US_10,47.689,-122.151,New York City,40.708,-73.978
Wittenberg University,US_11,39.934,-83.815,Los Angeles,34.061,-118.171
Western Kentucky University,US_12,36.986,-86.454,San Jose,37.337,-121.857
University of Maryland ,US_13,38.989,-76.943,Anchorage,61.231,-149.578
Gonzaga University,US_14,47.668,-117.403,Atlanta,33.755,-84.379
Kent State University,US_15,41.151,-81.35,,,
University of Pennsylvania,US_16,39.95,-75.199,San Francisco,37.776,-122.401
Wesleyan University,US_17,41.555,-72.656,Los Angeles,34.061,-118.171
Michigan State University,US_18,42.731,-84.475,Los Angeles,34.061,-118.171
North Central College,US_19,41.776,-88.143,Los Angeles,34.061,-118.171
Bucknell University,US_20,40.955,-76.885,Atlanta,33.755,-84.379
San Francisco State University,US_21,37.723,-122.479,,,
The Ohio State University,US_22,39.998,-83.016,Los Angeles,34.061,-118.171
