SoderbergID,AdlerID,citation,dv,year,study,included,exclusion_coarse,exclusion_fine,brief_reason,distance,citations
18,NA,"Danziger, S., Monit, R., & Barkan, R. (2012). Idealistic advice vs. pragmatic choice: A psychological distance account. JPSP, 102, 1105-1117.",importance placed on how vs. why,2012,2A,0,1,4,"No clear manipulation of social distance (manipulated as adivisors vs. choosers); Questionable DV, 28 point scale, anchored with Why and How.",2,86
20,NA,"Danziger, S., Monit, R., & Barkan, R. (2012). Idealistic advice vs. pragmatic choice: A psychological distance account. JPSP, 102, 1105-1117.",proportion recall idealistic,2012,6,0,2,4,No clear manipulation of social distance; DV problematic for multi-lab study - manual coding.,2,86
21,NA,"Darwent, K. (2012). Individual differences in travel across psychological distance. Dissertation.",trait ratings (higher numbers equal more situational answers),2012,,0,4,6,Study not available,2,5
22,NA,"Darwent, K. (2012). Individual differences in travel across psychological distance. Dissertation.",trait ratings (higher numbers equal more situational answers),2012,3,0,4,6,Unpublished PhD manuscript,0,5
22,NA,"Darwent, K. (2012). Individual differences in travel across psychological distance. Dissertation.",BIF,2012,3,0,4,6,Unpublished PhD manuscript,0,5
27,NA,"Eyal, T., Liberman, N., & Trope, Y. (2008). Judging near and distant virtue and vice. Journal of experimental social psychology, 44, 1204-1209.","choice of high level restatements (high coded as 1, low coded as 0)",2008,1,0,2,3,"Questionable whether DV is a clean measure of abstraction; Two previous unsuccessul/unconvincing replication attempts (Gong & Medin; 2012; Žeželj & Joki?, 2014)",0,386
33,NA,"Forster, J. (2009). Relations between perceptual and conceptual score: How global versus local processing fits a focus on similarity versus dissimilarity. Journal of Experimental Psychology, General, 138, 88-111.",number of thoughts generated,2009,7a,0,2,4,Retracted,0,198
34,NA,"Forster, J. (2009). Relations between perceptual and conceptual score: How global versus local processing fits a focus on similarity versus dissimilarity. Journal of Experimental Psychology, General, 138, 88-111.",similarities listed,2009,7b,0,2,4,Retracted,0,198
39,NA,"Forster, J., Friedman, R. S., & Liberman, N. (2004). Temporal construal effects on abstract and concrete thinking: Consequences for insight and creative cognition. Journal of Personality and Social Psychology, 87, 177-189.",SPT,2004,2,0,2,2, Nira Liberman strongly recommended against perceptual measures,0,640
40,NA,"Forster, J., Friedman, R. S., & Liberman, N. (2004). Temporal construal effects on abstract and concrete thinking: Consequences for insight and creative cognition. Journal of Personality and Social Psychology, 87, 177-189.",GCT,2004,3,0,2,2, Nira Liberman strongly recommended against perceptual measures,0,640
41,NA,"Fujita, K., Henderson, M. D., Eng, J., Trope, Y., & Liberman, N. (2004). The effect of spatial distance on object categorization. Unpublished data.",number of categories created,2004,1,0,1,1,Unpublished study. Data/Procedures unailabable. Null finding. DV failed validation,1,
42,NA,"Fujita, K., Henderson, M., Eng, J., Trope, Y., & Liberman, N. (2006). Construal of social events. Psychological Science, 14, 278-282.",BIF (short form),2006,1,1,NA,NA,,1,680
43,NA,"Fujita, K., Henderson, M., Eng, J., Trope, Y., & Liberman, N. (2006). Construal of social events. Psychological Science, 14, 278-282.",abstractness of video description (linguistic category model),2006,2,0,3,5,DV inappropriate for multi-lab study - manual coding with the LCM,1,680
44,NA,"Giacomantonio, M., De Dreu, C. K. W., Shalvi, S., Sligte, D., & Leder, S. (2010). Psychological distance boosts value-behavior correspondence in ultimatum bargaining and integrative negotiation, Journal of Experimental Social Psychology, 46, 824-829.",CL manipulation check,2010,1,1,NA,NA,Mindset/spillover hypothesis; Burrus & Roese (2006) measure of construal level could work.,0,96
45,NA,"Giacomantonio, M., Dreu, C.K.W.D., & Mannetti, L. (2010). Now You See It, Now You Don't: Interests, Issues, and Psychological Distance in Integrative Negotiation. Journal of Personality and Social Psychology, 98, 761-774. ",Construal level,2010,1,0,3,5,"too complicated procedure, dyads of negotiating participants",0,57
46,NA,"Giacomantonio, M., Dreu, C.K.W.D., & Mannetti, L. (2010). Now You See It, Now You Don't: Interests, Issues, and Psychological Distance in Integrative Negotiation. Journal of Personality and Social Psychology, 98, 761-774. ",semantic differential scale of experience during manipulatoin,2010,2,0,3,5,"too complicated procedure, dyads of negotiating participants",0,57
47,NA,"Gilead, M., Liberman, N., & Maril, A. (2012). Construing counterfactual worlds: The role of abstraction. European Journal of Social Psychology, 42, 391-397.",percentage of response for similar stimuli as identical (negated vs. conditional),2012,1,0,3,5,Materials and/or procedure may only be usable in highly specific contexts; questionable statistical reporting,3,16
51,NA,"Heller, D., Stephan, E., Kifer, Y., & Sedikides, C. (2011). What will I be? The role of temporal perspective in predictions of affect, traits, and self-narratives. Journal of Experimental Social Psychology, 47, 610-615.",self report extent to which self-description based on goals & general outlook (high level),2011,3,1,NA,NA,"Three DVs (i) positivity of future self; (ii) attributional accounts; and (iii) variability in ratings. Only variability in ratings, in line with Kruger et al. 2014, would appear to be a direct measure of abstraction. ",0,46
52,NA,"Henderson, M. D., Fujita, K., Trope, Y., &  Liberman, N. (2006). Transcending the ""Here"": The effect of spatial distance on social judgment. Journal of Personality and Social Psychology, 91, 845-856.",unitization (how many units film divided into),2006,1,0,1,1,DV failed validation,1,313
55,NA,"Jiga-Boy, G. M., Clark, A. E., & Semin, G. R. (2013). Situating construal level: The function of abstracness and conreteness in social contexts. Social Cognition, 31, 201-221.",propotion of How clauses to total number How & Why clauses,2013,preliminary,0,3,5,Manual coding of DV,0,89
56,NA,"Kane, J., van Boven, L., & McGraw, A. P. (2012). Prototypical prospection: Future events are more prototypically represented and simulated than past events. European Journal of Social Psychology, 42, 354-362.",BIF,2012,3,0,2,7," Esstentially a replication of Liberman & Trope 1998, but also with a future condition. Main effect of distance not significant.",0,45
61,NA,"Sanchez, A.M. & Ledgerwood, A. (2012a). Unpublished data.",BIF (day vs. year),2012,1,0,4,6,Study not found,0,
61,NA,"Sanchez, A.M. & Ledgerwood, A. (2012a). Unpublished data.",BIF (week vs. month),2012,1,0,4,6,Study not found,0,
61,NA,"Sanchez, A.M. & Ledgerwood, A. (2012a). Unpublished data.",BIF (week vs. yr),2012,1,0,4,6,Study not found,0,
61,NA,"Sanchez, A.M. & Ledgerwood, A. (2012a). Unpublished data.",BIF (month vs. year),2012,1,0,4,6,Study not found,0,
61,NA,"Sanchez, A.M. & Ledgerwood, A. (2012a). Unpublished data.",BIF (day vs. week),2012,1,0,2,7,"study not found, effect not in predicted direction",0,
61,NA,"Sanchez, A.M. & Ledgerwood, A. (2012a). Unpublished data.",BIF (day vs. month),2012,1,0,2,7,"study not found, effect not in predicted direction",0,
62,NA,"Sanchez, A.M. & Ledgerwood A. (2012B). Unpublished data",number of categories,2012,1,0,1,1,Study not found; DV failed validation,0,
62,NA,"Sanchez, A.M. & Ledgerwood A. (2012B). Unpublished data",number of categories,2012,1,0,1,1,Study not found; DV failed validation,0,
63,NA,"Liberman, N. & Forster, J. (2009). The Effect of Psychological Distance on Perceptual Level of Construal. Cognitive Science, 33, 1330-1341",Navon letter task (RT),2009,1,0,1,2,2 hours long; Nira Liberman opposed to perceptual measures. ,0,120
64,NA,"Liberman, N. & Forster, J. (2009). The Effect of Psychological Distance on Perceptual Level of Construal. Cognitive Science, 33, 1330-1341",Navon letter task (RT),2009,2,0,2,2,strange manipulation of spatial distance (imagining sitting on chair talking to best friend); Nira Liberman recommended against perceptual DVs.,1,120
65,NA,"Liberman, N. & Forster, J. (2009). The Effect of Psychological Distance on Perceptual Level of Construal. Cognitive Science, 33, 1330-1341",Navon letter task (RT),2009,3,0,2,4,Questionable manipulation of social distance (married vs. not married to your doctor); Nira Liberman strongly recommended against perceptual measures,2,120
66,NA,"Liberman, N., Sagristano, M., & Trope, Y. (2002). The effect of temporal distance on level of mental construal. Journal of Experimental Social Psychology, 38, 523-534.",number of groups,2002,1,0,1,1,DV failed validation,0,1013
68,NA,"Liberman, N. & Trope, Y. (1998). The role of feasibility and desireability considerations in near and distant future decisions: A test of temporal construal theory. Attitudes and Social Cognition, 75(1), 5-18. ",high vs. low level open ended descriptions,1998,1,0,3,5,DV innappropriate for multi-lab - manual LCM coding.,0,877
68,NA,"Liberman, N. & Trope, Y. (1998). The role of feasibility and desireability considerations in near and distant future decisions: A test of temporal construal theory. Attitudes and Social Cognition, 75(1), 5-18. ",BIF (modified with time in task & only 19 items),1998,1,1,NA,NA,Suitable,0,877
69,NA,"Liviatan, I., Trope, Y., & Liberman, N. (2008). Interpersonal similarity as a social distance dimensino: Implications for perception of others' actions. Journal of Experimental Social Psychology, 44, 1256-1269.",BIF,2008,1,0,2,4,Weak/indirect manipulation of social distance (attending same vs. different classes as participants); pre-screening several weeks before makes it unsuitable for a multi-lab collaboration.,2,510
71,NA,"Liviatan, I., Trope, Y., & Liberman, N. (2008). Interpersonal similarity as a social distance dimensino: Implications for perception of others' actions. Journal of Experimental Social Psychology, 44, 1256-1269.",importance of feasibiltiy,2008,3,0,2,4,Weak manipulation of social distance (target has same vs. other innitials as participant); pre-screening makes it unsuitable for a multi-lab study,2,510
75,NA,"Lutchyn, Y. & Yzer, M. (2011). Construal level theory and theory of planned behavior: Time frame effects on salient belief generation. Journal of Health Communication, 16, 595-606.",desirability vs. feasibility generatoin,2012,1,0,3,5,too complex design,0,53
78,NA,"McCarthy, R.J., & Skowronski, J.J. (2011). You're getting warmer: Level of construal affects the impact of central traits on impression formation. Journal of Experimental Social Psychology, 47, 1304-1307.",sociability judgmetn,2011,1a,0,2,3,"Already attempted replication, multi-lab replication, non-significant effect d = 0.10, 95% CI [–0.01, 0.22] McCarthy et al. 2018",1,31
79,NA,"McCarthy, R.J., & Skowronski, J.J. (2011). You're getting warmer: Level of construal affects the impact of central traits on impression formation. Journal of Experimental Social Psychology, 47, 1304-1307.",sociability judgmetn,2011,1b,0,2,3,"Already attempted replication, non-sig (McCarthy et al. 2018)",0,31
80,NA,"Milkman, K. L., Akinola, M., & Chugh, D. (2012). Temporal distance and discrimination: An audit study in academia. Psychological Science, 23, 710-717.",why/how content coding of responses,2012,1,0,3,5,"field study, not suitable for multi-lab replicaiton. ",0,167
82,NA,"Nussbaum, S., Trope, Y., & Liberman, N. (2003). Creeping Disposition: the temporal dynamic of behavior prediction. Journal of personality and social psychology, 84, 485-497.",cross-sitational variance,2003,2,1,NA,NA,Potentially suitable,0,397
83,NA,"Nussbaum, S., Trope, Y., & Liberman, N. (2003). Creeping Disposition: the temporal dynamic of behavior prediction. Journal of personality and social psychology, 84, 485-497.",propotion decontextualized questions,2003,3,0,3,5,DV inappropriate for multi-lab - manual coding.,0,397
84,NA,"Nussbaum, S., Trope, Y., & Liberman, N. (2003). Creeping Disposition: the temporal dynamic of behavior prediction. Journal of personality and social psychology, 84, 485-497.",participants' rated globality of cause,2003,4,0,3,5,DV inappropriate for multi-lab - manual coding.,0,397
85,NA,"Peetz, J., Buehler, R., & Wilson, A. (2010). Planning for the near and distant future: How does temporal distance affect task completion predictions? Journal of Experimental Social Psychology, 46, 709-720.",frequency of thoughts about obstacles/concrete plans,2010,2,0,3,5,"too complicated procedure, time specific (christmas), pre- and post-measures, manual coding of DV",0,51
86,NA,"Peetz, J., Buehler, R., & Wilson, A. (2010). Planning for the near and distant future: How does temporal distance affect task completion predictions? Journal of Experimental Social Psychology, 46, 709-720.",thoughts about obstacles/concrete plans,2010,3,0,2,7,One of the effects not in the predicted direction. DV requires manual coding unsuitable for multi-lab project. ,0,51
87,NA,"Peetz, J., Buehler, R., & Wilson, A. (2010). Planning for the near and distant future: How does temporal distance affect task completion predictions? Journal of Experimental Social Psychology, 46, 709-720.",focus on concrete plans,2010,5,0,2,5,Manipulation requires that participants will do a written assignement in the coming weeks - inappropriate for a multi-lab study. ,0,51
92,NA,"Roehm, M. L., & Roehm Jr., H. A. (2011). The influence of redemption time frame on responses to incentives. Journal of Academic Marketing Science, 39, 363-375.",self-rated bastractness,2011,1,1,NA,NA,Potentially suitable,0,40
93,NA,"Roehm, M. L., & Roehm Jr., H. A. (2011). The influence of redemption time frame on responses to incentives. Journal of Academic Marketing Science, 39, 363-375.",self-rated bastractness,2011,2,1,NA,NA,Potentially suitable,0,40
94,NA,"Sanchez, A.M. & Rutchick, A.M. (2013). Distance, prevention, and resilience in decisions about national security risks. Poster presented at the 14th annual Society for Personality and Social Psychology in New Orleans, LA.",Navon task: Local targets,2013,1,0,2,2,Nira Liberman opposed to perceptual DVs,0,
94,NA,"Sanchez, A.M. & Rutchick, A.M. (2013). Distance, prevention, and resilience in decisions about national security risks. Poster presented at the 14th annual Society for Personality and Social Psychology in New Orleans, LA.",Navon task: Global targets,2013,1,0,2,2,Nira Liberman opposed to perceptual DVs,0,
95,NA,"Steinhart, Y., Mazursky, D., & Kamins, M. A. (2013). The ""temporal-processing-fit effect"": The interplay between regulatory state, temporal distance, and construal level, Social Cognition, 31, 315-335.",number of categories created,2013,1,0,1,1,Inconsistent results some effect not in predicted direction; one of the DVs - categorization  task - was not validated ,0,20
96,NA,"Steinhart, Y., Mazursky, D., & Kamins, M. A. (2013). The ""temporal-processing-fit effect"": The interplay between regulatory state, temporal distance, and construal level, Social Cognition, 31, 315-335.",number of categories created,2013,2,0,1,1,Inconsistent results some effect not in predicted direction; one of the DVs - categorization  task - was not validated ,0,20
97,NA,"Steinhart, Y., Mazursky, D., & Kamins, M. A. (2013). The ""temporal-processing-fit effect"": The interplay between regulatory state, temporal distance, and construal level, Social Cognition, 31, 315-335.",ratio abstract to concrete items choosen,2013,3,0,1,1,"Inconsistent results, some effect not in predicted direction; one of the DVs - categorization  task - was not validated ",0,20
98,NA,"Stephan, E., Liberman, N., & Trope, Y. (2010). Politeness and psychological distance: A construal level perspective. Journal of Personality and Social Psychology, 98, 268-280. ",average abstractness accordig to linguistic category model (very vs. moderately polite),2010,5,0,3,5,DV (manual LCM) unsuitable for multi-lab replication. ,2,272
100,NA,"von Wagner, C. Semmler, C., Power, E., & Good, A. (2010). What matters when deciding whethe to participate in colorectal cancer screening? The moderating role of time perspective. Journal of Applied Biobehavioral Research, 15, 20-30.",Feasbility/desireability,2010,1,0,2,7,Effect not in predicted direction,0,10
101,NA,"Wakslak, C. J., Nussbaum, S., Liberman, N., & Trope, Y. (2008). Representations of the self in the near and distant future. Journal of Personality and Social Psychology, 95, 757-773.",level of self identitificaiton,2008,1,0,3,5,Culturally specific DV unsuitable for international multi-lab projects,0,237
102,NA,"Wakslak, C. J., Nussbaum, S., Liberman, N., & Trope, Y. (2008). Representations of the self in the near and distant future. Journal of Personality and Social Psychology, 95, 757-773.",Categorizaion task,2008,2,0,1,1,Annalogous DV failed validation,0,237
103,NA,"Wakslak, C. J., Nussbaum, S., Liberman, N., & Trope, Y. (2008). Representations of the self in the near and distant future. Journal of Personality and Social Psychology, 95, 757-773.",self-concept differentiation,2008,3,1,NA,NA,Potentially suitable,0,237
104,NA,"Wakslak, C. J., Nussbaum, S., Liberman, N., & Trope, Y. (2008). Representations of the self in the near and distant future. Journal of Personality and Social Psychology, 95, 757-773.",speed of trait judgments,2008,4,0,2,7,"Effect only seen for response times, not for actual judgements. Hypothesis of the experiment is not a clean test of the hypothesis of temporal variations on construal.",0,237
105,NA,"Wakslak, C. J., Nussbaum, S., Liberman, N., & Trope, Y. (2008). Representations of the self in the near and distant future. Journal of Personality and Social Psychology, 95, 757-773.",variance of trait ratings across situations,2008,5,0,3,5,Long procedure - 30 minute filler task unsuitable for a multi-lab data collection. ,0,237
108,NA,"Wakslak, C., Trope, Y., Liberman, M., & Alony, R. (2006). Seeing the forest when entry is unlikely: Probability and the mental representation of events. Journal of Experimental Psychology, 4, 641-653.",number of categories,2006,1,0,1,1,DV failed validation,3,500
109,NA,"Wakslak, C., Trope, Y., Liberman, M., & Alony, R. (2006). Seeing the forest when entry is unlikely: Probability and the mental representation of events. Journal of Experimental Psychology, 4, 641-653.",rate how well items belong to a category,2006,2,0,3,5,Materials and/or procedure may only be usable in highly specific contexts.,3,500
110,NA,"Wakslak, C., Trope, Y., Liberman, M., & Alony, R. (2006). Seeing the forest when entry is unlikely: Probability and the mental representation of events. Journal of Experimental Psychology, 4, 641-653.",generality of free response description; forced choice identification,2006,3,0,3,5,Materials and/or procedure may only be usable in highly specific contexts.,3,500
111,NA,"Wakslak, C., Trope, Y., Liberman, M., & Alony, R. (2006). Seeing the forest when entry is unlikely: Probability and the mental representation of events. Journal of Experimental Psychology, 4, 641-653.",behavioral segmentation task,2006,4,0,1,1,already conducted replication; validation of DV failed.,3,500
112,NA,"Wakslak, C., Trope, Y., Liberman, M., & Alony, R. (2006). Seeing the forest when entry is unlikely: Probability and the mental representation of events. Journal of Experimental Psychology, 4, 641-653.",snowy pictures task & Gestalt completeion,2006,5,0,1,1,already conducted failed replication; validation of DV failed; Nira Liberman strongly recommended against perceptual measures,3,500
113,NA,"Wakslak, C., Trope, Y., Liberman, M., & Alony, R. (2006). Seeing the forest when entry is unlikely: Probability and the mental representation of events. Journal of Experimental Psychology, 4, 641-653.",WISC,2006,6,0,1,2,Nira Liberman strongly recommended against perceptual measures. ,3,500
114,NA,"Wakslak, C., Trope, Y., Liberman, M., & Alony, R. (2006). Seeing the forest when entry is unlikely: Probability and the mental representation of events. Journal of Experimental Psychology, 4, 641-653.",BIF,2006,7,0,2,4,weak manipulation - psych distance primed through scrambled sentence; Nira Liberman strongly recommended against studies priming mental states,3,500
115,NA,"Warner, R.H., Vandeursen, M.J., & Pope, A.R.D. (2012). Temporal distance as a determinant of just world strategy. European Journal of Social Psychology, 42, 276-284.",CL measure,2012,2,1,NA,NA,5-item measure of construal.,0,15
116,NA,"Warner, R.H., Vandeursen, M.J., & Pope, A.R.D. (2012). Temporal distance as a determinant of just world strategy. European Journal of Social Psychology, 42, 276-284.",CL measure,2012,4,1,NA,NA,5-item measure of construal.,0,15
117,NA,"Wyer, N.A., Perfect, T.J., & Pahl, S. (2010). Temporal Distance and Person Memory: Thinking About the Future Changes Memory for the Past. PSPB, 36, 805-816.",Two DVs about processing style,2010,1,1,NA,NA,Potentially suitable,0,21
118,NA,"Wyer, N.A., Perfect, T.J., & Pahl, S. (2010). Temporal Distance and Person Memory: Thinking About the Future Changes Memory for the Past. PSPB, 36, 805-816.",number of categories created; rated details; rated meaning,2010,2,0,1,1,"One of the DVs could not be validated - categorization task, the other DVs require manual coding - unsuitable for a multi-lab project. ",0,21
122,NA,Wyer (unpublished data),number of categories,,2,0,1,1,Study not found; DV failed validation,0,
122,NA,Wyer (unpublished data),face recognition,,2,0,4,6,Study not found,0,
123,NA,Wyer (unpublished data),face recogniton 1,,8,0,4,6,Unpublished study. Data/Procedures unavailabable.,1,
124,NA,Wyer (unpublished data),face recognition,,webstudy,0,4,6,Study not found,0,
124,NA,Wyer (unpublished data),configural questions,,webstudy,0,4,6,Study not found,0,
124,NA,Wyer (unpublished data),Featural questions,,webstudy,0,4,6,Study not found,0,
NA,400,"Seih, Y. T., Beier, S., & Pennebaker, J. W. (2017). Development and examination of the linguistic category model in a computerized text analysis method. Journal of Language and Social Psychology, 36(3), 343-355.",Automated LCM,2017,1,0,3,5,The DV used an automated version of the LCM not suitable for non-English samples,2,29
NA,463,"Lee, H., Fujita, K., Deng, X., & Unnava, H. R. (2017). The role of temporal distance on the color of future-directed imagery: A construal-level perspective. Journal of Consumer Research, 43(5), 707-725.",Colour vs. form,2017,1,0,2,7,"Only a sig difference was observed for colour, not form.",0,68
NA,463,"Lee, H., Fujita, K., Deng, X., & Unnava, H. R. (2017). The role of temporal distance on the color of future-directed imagery: A construal-level perspective. Journal of Consumer Research, 43(5), 707-725.",Colour vs. Black and white,2017,2A,1,NA,NA,Potentially suitable,0,68
NA,463,"Lee, H., Fujita, K., Deng, X., & Unnava, H. R. (2017). The role of temporal distance on the color of future-directed imagery: A construal-level perspective. Journal of Consumer Research, 43(5), 707-725.",Colour vs. Black and white,2017,2B,1,NA,NA,Potentially suitable,0,68
NA,463,"Lee, H., Fujita, K., Deng, X., & Unnava, H. R. (2017). The role of temporal distance on the color of future-directed imagery: A construal-level perspective. Journal of Consumer Research, 43(5), 707-725.",Colour vs. Black and white,2017,2C,1,NA,NA,Potentially suitable,0,68
NA,463,"Lee, H., Fujita, K., Deng, X., & Unnava, H. R. (2017). The role of temporal distance on the color of future-directed imagery: A construal-level perspective. Journal of Consumer Research, 43(5), 707-725.",Greyscale vs. chromatic colour use,2017,3,1,NA,NA,Potentially suitable,0,68
NA,477,"Rizvi, S., & Bobocel, D. R. (2016). Promoting forgiveness through psychological distance. Social Psychological and Personality Science, 7(8), 875-883.",BIF,2016,1,0,1,1,"BIF was used a measure of mindset, a spill over effect from the main psychological distance manipulation. Spillover effects on the BIF received no support in the validation paper.",0,13
NA,524,"Yan, D., Sengupta, J., & Hong, J. (2016). Why does psychological distance influence construal level? The role of processing mode. Journal of Consumer Research, 43(4), 598-613.",Categorizaion task,2016,2,0,1,1,DV failed validation,0,69
NA,524,"Yan, D., Sengupta, J., & Hong, J. (2016). Why does psychological distance influence construal level? The role of processing mode. Journal of Consumer Research, 43(4), 598-613.",BIF,2016,3,0,2,4,There was no prescreening in the similarity manipulation. Social distance was also confounded with spatial distance.,2,69
NA,630,"Krüger, T., Fiedler, K., Koch, A. S., & Alves, H. (2014). Response category width as a psychophysical manifestation of construal level and distance. Personality and Social Psychology Bulletin, 40(4), 501-512. ",Interval estimates of the length of bridges,2014,1,0,1,1,DV failed validation,1,
NA,630,"Krüger, T., Fiedler, K., Koch, A. S., & Alves, H. (2014). Response category width as a psychophysical manifestation of construal level and distance. Personality and Social Psychology Bulletin, 40(4), 501-512. ",Interval estimates of the length of bridges,2014,3,0,1,1,DV failed validation,1,
NA,630,"Krüger, T., Fiedler, K., Koch, A. S., & Alves, H. (2014). Response category width as a psychophysical manifestation of construal level and distance. Personality and Social Psychology Bulletin, 40(4), 501-512. ",Interval estimates of the length of bridges,2014,2,0,1,1,DV failed validation,3,
NA,NA,"Grinfeld, G., Wakslak, C. J., Trope, Y., & Liberman, N. (2021). Hypotheticality and Level of Construal. PsyArXiv. ",,2021,2a,0,2,4,Within-group design group design allows for a comparison that articifically increases the effect,3,
NA,NA,"Grinfeld, G., Wakslak, C. J., Trope, Y., & Liberman, N. (2021). Hypotheticality and Level of Construal. PsyArXiv. ",,2021,2b,0,2,4,"Appropriate design, but effect was small (g = .01) and non significant ",3,
NA,NA,"Grinfeld, G., Wakslak, C. J., Trope, Y., & Liberman, N. (2021). Hypotheticality and Level of Construal. PsyArXiv. ",,2021,2c,0,2,4,Replication of Study 2b with additional instruction comparing the two likelihood conditions. Addtional instruction may  have articifially increased effect.,3,
NA,NA,"Grinfeld, G., Wakslak, C. J., Trope, Y., & Liberman, N. (2021). Hypotheticality and Level of Construal. PsyArXiv. ",,2021,1a,0,3,5,DVs cannot be used in international multi-lab projects; manual coding/text analysis limited to English language,3,
NA,NA,"Grinfeld, G., Wakslak, C. J., Trope, Y., & Liberman, N. (2021). Hypotheticality and Level of Construal. PsyArXiv. ",,2021,1b,0,3,5,DVs cannot be used in international multi-lab projects; manual coding/text analysis limited to English language,3,
NA,NA,"Danziger, S., Monit, R., & Barkan, R. (2012). Idealistic advice vs. pragmatic choice: A psychological distance account. JPSP, 102, 1105-1117.",ratio of pros to cons,2012,3,0,1,4,No clear manipulation of social distance; Priming used to manipulate groups - Nira Liberman strongly recommended against studies priming mental states ,2,
NA,NA,"Liviatan, I., Trope, Y., & Liberman, N. (2008). Interpersonal similarity as a social distance dimension: Implications for perception of others' actions. Journal of Experimental Social Psychology, 44, 1256-1269.",Judgements of primary and secondary aspects,2008,4,0,2,4,Weak/indirect manipulation of social distance (attending same vs. different classes as participants); pre-screening several weeks before makes it unsuitable for a multi-lab collaboration; Materials and/or procedure may only be usable in highly specific contexts.,2,
