lab_id,country,female_old_1,female_old_2,female_old_3,female_old_4,female_old_5,female_old_6,female_young_1,female_young_2,female_young_3,female_young_4,female_young_5,female_young_6,male_old_1,male_old_2,male_old_3,male_old_4,male_old_5,male_old_6,male_young_1,male_young_2,male_young_3,male_young_4,male_young_5,male_young_6,unisex_1,unisex_2,unisex_3,unisex_4,unisex_5,unisex_6,,source,,
AU_01,"Australia, New South Wales",Gladys,Doris,Mavis,Mildred,Agatha,Gwen,Charlotte,Mia,Emma,Amelia,Maddison,Isabella,Bernard,Charles,Albert,Clifford,Graham,Harold,Matthew,Michael,Ollie,Nick,Chris,David,Shannon,Alex,Kai,Harper,Andie,Billie,robross46@gmail.com,English,I borrowed them from the AU_02 submission because the list looks good to me.,AU_01
US_18,USA Michigan,Ruth,Maude,Edith,Mabel,Frances,Rosemary,Emily,Jessica,Ashley,Sarah,Emma,Madison,Earnest,Albert,Chester,Clarence,Mortimer,Wilbur,William,James,Christopher,Jacob,Matthew,Michael,Jaime,Casey,Riley,Logan,Jessie,Quinn,chopikwi@msu.edu,English,"historical records by birth year; however, some of those were pretty common even today. So I found some websites that listed stereotypically older names--and I picked the ones I felt were the most common. For younger, I picked some of the most common from historical records, including those from birth years of current college students (as they'll be participants). Unisex names were harder--picked some of the most common ones that belonged equally to men/women (according to a 538 website and some others). Tried my best!",US_18
TR_04,Turkey,Ayfer,Esma,Aysun,Zahide,Nevin,Feride,Pelin,Mine,Selin,Aylin,Demet,Berna,Necdet,Niyazi,Mesut,Tahsin,Cevdet,Aziz,Kaan,Cem,Ufuk,Soner,Selim,Ozan,Deniz,Ada,Ekin,Bilge,Ege,Tuna,gul.gunaydin@sabanciuniv.edu,Turkish,"A Turkish newspaper made a list of popular male and female names by year, which I used.
https://www.sabah.com.tr/galeri/turkiye/turkiyede-yillara-gore-isim-degisimi/27
I relied on the following website and my own knowledge to generate the unisex names.
https://www.prima.com.tr/gebelik/bebek-isimleri/yazilar/unisex-isimler-2022
I tried to select names that don't have turkish characters in case turkish characters might not display properly in the survey.",TR_04
US_16,"USA, Pennsylvania",Lisa,Mary,Karen,Kimberly,Susan,Patricia,Jessica,Ashley,Emily,Samantha,Sarah,Taylor,Robert,Mark,Richard,Thomas,Jeffrey,Timothy,Matthew,Jacob,Joshua,Nicholas,Tyler,Brandon,Casey,Riley,Jessie,Jackie,Avery,Jamie,mandylan@upenn.edu,English,We used the same approach as US_11.,US_16
AU_03,Australia / Australian Capital Territory,Gladys,Doris,Mavis,Mildred,Agatha,Gwen,Charlotte,Mia,Emma,Amelia,Maddison,Isabella,Bernard,Charles,Albert,Clifford,Graham,Harold,Matthew,Michael,Ollie,Nick,Chris,David,Shannon,Alex,Kai,Harper,Andie,Billie,samantha.stanley@anu.edu.au,English,These are from the AU_02 submission for consistency across Australia-based labs (also used in AU_01),AU_03
US_17,"USA, Connecticut",Ruth,Karen,Mary,Kimberly,Edith,Lisa,Emily,Jessica,Ashley,Sarah,Emma,Samantha,Robert,Albert,Ronald,Richard,Jeffrey,Timothy,Matthew,Joshua,Jacob,Nicholas,Brandon,Tyler,Jamie,Casey,Riley,Jessie,Avery,Quinn,kkim01@wesleyan.edu,English,"The names were generated by looking up available records, for example, https://www.ssa.gov/oact/babynames/decades/names1990s.html",US_17
US_04,Florida,Patricia,Linda,Donna,Mary,Susan,Karen,Jessica,Ashley,Emily,Brittany,Taylor,Hannah,Thomas,Richard,William,James,Robert,Steve,Ryan,Matthew,Josh,Jacob,Zach,Tyler,Jordan,Dylan,Peyton,Parker,Hayden,Logan,paul.fuglestad@unf.edu,English,I used Social Security records form the government and went with names that would code as older or younger. For the unisex names I used https://nameberry.com/unisex-names.,US_04
DE_01,Germany,Brigitte,Dagmar,Ute,Erika,Roswitha,Doris,Emma,Lilly,Leonie,Alina,Mia,Janina,Reinhard,Heiner,Dietmar,Rüdiger,Klaus,Jürgen,Leon,Finn,Yannick,Sören,Linus,Nils,Yves,Ilja,Alfa,Hosea,Maxi,Male,anita.koerner@uni-kassel.de,German,"I used the German name corpus by Nett, T., Dorrough, A., Jekel, M., & Glöckner, A. (2019). Perceived biological and social characteristics of a representative set of German first names. Social Psychology.

This corpus contains 2000 names from German media, rated on various dimensions. 
I used the R-data provided with the publication, filtered for occurrences (to filter out very unusual names), filtered for very gender-specific or very unisex-ness and also for rated age and also filtered out names that were considered ageless (=good across time).

My filter for old names was: 
names.mean %>% filter(sum_newscrawl > 1000) %>% filter(abs(Sex_weighted_mean) > 5) %>% filter(is_Ageless_mean < 0.3) %>% filter(Age_mean > 4.5 & Age_mean < 5.0)
This yielded 51 names, from which I selected 6 male and 6 female names that seemed suitable to me. 

My filter for young names was: 
names.mean %>% filter(sum_newscrawl > 700 & Nationality_mean > 0.2) %>% filter(abs(Sex_weighted_mean) > 5) %>% filter(is_Ageless_mean < 0.55) %>% filter(Age_mean > 1.5 & Age_mean < 3.2)
This yielded 65 names from which I selected 12. 

For unisex names my filter was: 
names.mean %>% filter(sum_newscrawl>500) %>% filter(abs(Sex_mean) < 0.5 & abs(Sex_weighted_mean) < 3)
This resulted in 35 names, from which I chose 6. 
The unisex names are rather unusual, I am afraid. There are more common unisex names (e.g., Sam, Alex) but these have rather strong male association (even though they can refer to other genders as well).",DE_01
US_07,United States/Pennsylvania,Betty,Carol,Wanda,Lori,Debra,Joan,Emma,Stephanie,Mia,Amani,Mackenzie,Alexis,Bob,Vincent,Tom,Richard,James,Phillip,Ethan,Andre,Ben,Jackson,Jake,Caleb,Asher,Cam,Jordan,Addison,Logan,Kai,rpickering@allegheny.edu,English,I came up with most names myself but also used online lists of baby names looking at years and dates and combining that with commonly used names.,US_07
NZ_01,"Christchurch, New Zealand",Barbara,Karen,Susan,Christine,Linda,Margaret,Jessica,Sarah,Hannah,Emma,Nicole,Rebecca,John,David,Peter,Michael,Stephen,Paul,Matthew,Joshua,Daniel,James,Benjamin,Samuel,Hayden,Jamie,Corey,Alex,Sam,Jordan,kumar.yogeeswaran@canterbury.ac.nz,English,"The female and male names came from official records from the Dept of Internal Affairs, while the unisex names came from a NZ website and were then used to check on the official records if these names indeed were prevalent in official male and female names at comparable levels.",NZ_01
PL_01,Poland,Jadwiga,Krystyna,Zofia,Halina,Danuta,Elżbieta,Hanna,Oliwia,Zuzanna,Aleksandra,Karolina,Agnieszka,Jan,Kazimierz,Stanisław,Jerzy,Tadeusz,Andrzej,Michał,Paweł,Jakub,Mateusz,Adam,Damian,Alex,Niko,Eli,Izumi,Nao,Rei,yhrymchak@swps.edu.pl,Polish,"We used web-search, AI tools and National database (https://dane.gov.pl/pl/dataset/219,imiona-nadawane-dzieciom-w-polsce) with dedicated app BRAIAN on Google Store to create different lists, and confronted them with Polish natives of different generations to choose the most representative names.",PL_01
CA_03,Canada,Diane,Linda,Lisa,Patricia,Margaret,Elizabeth,Paige,Sophie,Grace,Hannah,Madison,Hailey,Larry,Norman,Russel,Bruce,Dale,Glenn,Jason,Hunter,Jeremy,Marcus,Aaron,Ethan,Jordan,Jamie,Taylor,Mackenzie,Cameron,Corey,emeyers@uwaterloo.ca,English,We used Ontario and British Columbia (combined) baby-name statistics and chose from the 10 most popular names. For unisex we reserved several popular names from these statistics and narrowed down to a final list via discussion.,CA_03
CN_01,中国,王秀英,王桂英,王桂兰,王玉珍,王梅,王萍,王欣怡,王婷婷,王静,王丹,王雪,王娟,王和平,王建华,王建平,王建军,王国华,王军,王俊杰,王浩然,王超,王涛,王帅,王鑫,王一诺,王星辰,王玮,王越,王楠,王爽,sdyuqingz@hotmail.com,Traditional chinese,"We obtained the names of men and women born in the 60's and 90's for national records. However, we found a large overlap in these names. For example, the names of common males in the 1960s include 明/华/平/林/生/军/国/民/祥/成, and the names of common males in the 1960s include 伟/强/龙/杰/飞/超/军/明/鹏/涛.
Therefore, we did not use the national records. Instead, we used period-specific names discussed by the study group.",CN_01
ES_02,Spain,Soledad,Antonia,Isabel,Josefa,Manuela,Teresa,Cristina,Lucía,Elena,Laura,Beatriz,Patricia,Manuel,Antonio,Alberto,Julian,Rafael,Santiago,Ángel,Francisco,Álvaro,Miguel,Pedro,Diego,Ariel,Cameron,Cris,Dani,Jessie,Morgan,angelsr@usal.es,Spain spanish,I looked for the most common names in the National Institute of Statistics and include here the ones that sounded most familiar to me.,ES_02
BE_01,Belgium,Françoise,Monique,Jacqueline,Claudine,Chantal,Christiane,Léa,Emma,Lucie,Chloé,Louise,Clara,Guy,Claude,Jacques,Raymond,Robert,Joseph,Nathan,Hugo,Noah,Ethan,Théo,Lucas,Charlie,Manu,Dominique,Alex,Sacha,Gabi,karl-andrew.woltin@uclouvain.be,French,"Regarding the first names for young/old men and women we consulted the site STATBEL and found an excel file with first names of people in 2022 by region and age group:
https://statbel.fgov.be/fr/themes/population/noms-et-prenoms/prenoms-femmes-et-hommes#figures
For the unisex names, we took unisex names in the data file mentioned above with the most found names in Belgium for men and women. We then compared the numbers for men and women and the final list was agreed upon after discussing with colleagues.",BE_01
CH_01,Switzerland,Monique,Denise,Elisabeth,Yvonne,Thérèse,Madeleine,Sabrina,Mélanie,Jessica,Tamara,Jennifer,Laeticia,Daniel,Marcel,Roger,René,Albert,Pierre,Fabian,Lucas,Vincent,Valentin,Julian,Mickaël,Claude,Dominique,Sacha,Andréa,Maxime,Alix,fanny.lalot@unibas.ch,French,"We used an available record of names most given in Switzerland by year and looked at those for 1960 and 1990. We also discussed in the team so that the names chosen ""felt"" young vs. old in our subjective impression.",CH_01
DE_03,Germany,Sabine,Susanne,Andrea,Petra,Claudia,Birgit,Anna,Julia,Sarah,Lisa,Laura,Katharina,Thomas,Michael,Andreas,Stefan,Frank,Torsten,Jan,Lukas,Philipp,Tim,Alexander,Daniel,Mika,Toni,Charlie,Kim,Maxi,Chris,karolin.gieseler@uni-saarland.de,German,We used two online sources: beliebte-vornamen.de (https://www.beliebte-vornamen.de/3772-1960er-jahre.htm; https://www.beliebte-vornamen.de/3778-1990er-jahre.htm); vorname.com (https://www.vorname.com/das-sind-die-schoensten-unisex-vornamen.html);,DE_03
US_13,"Maryland, USA",Geraldine,Martha,Dorothy,Marjorie,Phyllis,Ruth,Olivia,Emma,Isabella,Mia,Chloe,Lily,Albert,Barney,Charles,Earl,Herman,Ralph,Lucas,Noah,Dean,Aiden,Liam,Grayson,Logan,Riley,Jordan,Parker,Avery,Cameron,elemay@umd.edu,English,I search the Internet for popular names that fit your criteria and then selected names from each list that I agreed seemed to fit your criteria.,US_13
ES_01,Spain,Josefa,Francisca,Antonia,Dolores,Rosario,Juana,Laura,Cristina,Marta,Sara,Andrea,Paula,Santiago,Juan Manuel,Alfonso,Jose Ramón,Agustín,Enrique,Alejandro,David,Daniel,Pablo,Rubén,Mario,Ariel,Abril,Eider,Neftali,Patri,Gaby,santiago@ugr.es,Spain spanish,"I checked the official statistics for Spain, except for the unisex names. In Spanish there are basically no unisex names. The ones I chose have different sources. The first two (Ariel and Abril) are from people who I actually met, so I can attest that they have been used at least once, and they feel truly unisex to me. The third (Eider) is a Basque name. It maybe more frequent in the Basque country, but I never met anyone with this name (not even my thousands of students over the years). The last two are actually nicknames for common names that have a male and female form (Patri is nickname to both Patricia and Patricio, and Gaby is nickname to both Gabriela and Gabriel). If it is ok to include this kind of nicknames, it is easy to find a few more (e.g., Dani serves for Daniel and Daniela). If nicknames are not adequate, is going to be very difficult to find Spanish unisex names that are no more than rare nonwords for the participants.",ES_01
DK_01,Denmark,Helle,Susanne,Lene,Charlotte,Pia,Gitte,Julie,Camilla,Maria,Louise,Sara,Cecilie,Henrik,Michael,Lars,Peter,Jan,Jens,Rasmus,Mathias,Mads,Christian,Mikkel,Frederik,Kim,Gerd,Michelle,Lucca,Nor,Ellis,sp@psy.au.dk,Danish,"Lists of common names: University of Copenhaven, Institute of Nordic Studies and Linguistics (they used ‘Denmark’s Statistics’) https://navn.ku.dk/personnavne/fornavne/historiske_modenavne/ 

List of unisex names: own sample",DK_01
AT_02,Austria,Birgit,Sabine,Petra,Renate,Claudia,Karin,Sarah,Laura,Lisa,Katharina,Anna,Stefanie,Peter,Wolfgang,Manfred,Günther,Gerhard,Klaus,Florian,Alexander,Stefan,Maximilian,Lukas,Tobias,Alex,Leo,Chris,Dani,Manu,Michi,gh.marktg@cbs.dk,German,Name lists have been compiled based on  Statistik Austria and screened through by two native research assistants.,AT_02
GB_06,United Kingdom,Susan,Julie,Karen,Helen,Diane,Jane,Rebecca,Lauren,Jessica,Charlotte,Sophie,Amy,David,Paul,Andrew,Mark,John,Stephen,Thomas,James,Jack,Daniel,Ryan,Luke,Sam,Charlie,Alex,Ashley,Taylor,Robin,maja.kutlaca@durham.ac.uk,English,"The names for younger and older male and females names were selected from top 10 names given to boys and girls in the UK  during 1964 and 1994. The database of office for national statistics was used for this purpose: https://webarchive.nationalarchives.gov.uk/ukgwa/20170726163654/http://visual.ons.gov.uk/baby-names-data-download-1904-to-1994/

The unisex names were picked from results of a google search of 'unisex names UK babies'. These names were then discussed with and approved by some colleagues native to the UK.",
US_05,"USA, New York State",Patricia,Donna,Barbara,Deborah,Brenda,Nancy,Megan,Jessica,Brittany,Hannah,Kayla,Alyssa,Robert,Richard,Mark,Steven,Charles,Ronald,Justin,Joshua,Ryan,Zachary,Austin,Kyle,Logan,Avery,Jessie,Riley,Casey,Frankie,andrew.christy4@gmail.com,English,"Common male & female names were pulled from the US Social Security Administration website lists of common names for the 1960s and 1990s (with care taken to select names from each list that were not in the top 20 most-common names on the other list).

Gender-neutral names were pulled from Google search results for ""common gender-neutral American names.""",
DE_02,Germany,Angelika,Monika,Sabine,Petra,Karin,Gabriele,Mia,Emma,Hannah,Sophia,Emilia,Anna,Michael,Peter,Hans,Klaus,Wolfgang,Thomas,Ben,Leon,Paul,Jonas,Finn,Lukas,Luca,Mika,Toni,Lian,Jona,Robin,adler@lmu.de,German,"I chose a similar approach to Lab DE_03 and chose the top-6 names as indicated by beliebte-vornamen.de. However, I chose names form other decades (2010s: https://www.beliebte-vornamen.de/26104-2010er-jahre.htm vs. 1950s: https://www.beliebte-vornamen.de/3770-1950er-jahre.htm; unisex names: https://www.beliebte-vornamen.de/3841-uni.htm)",
IE_01,Ireland,Mary,Margaret,Catherine,Anne,Elizabeth,Geraldine,Sarah,Emma,Laura,Sinéad,Aoife,Niamh,Noel,Richard,Derek,William,John,Patrick,Dylan,Shane,Conor,Sean,Jack,Cian,Robin,Pat,Alex,Dáire,Caoilainn,Sam,cillian.mchugh@ul.ie,English,"We collated names from a number of sources (listed below). There was substantial duplication (particularly for male names) between older and younger. We retained some of the more traditional ""older"" names (e.g., John and Patrick) even though they appeared in Younger lists, because they are still typical of the older generation.
For the unisex names we developed our own sample based on known names.

https://www.irishpost.com/news/the-100-most-popular-baby-names-ireland-in-1965-v-2020-106861

https://namerology.com/top-irish-baby-names-of-1969/

https://www.cso.ie/en/media/csoie/releasespublications/documents/birthsdm/1999/babiesnames_1999.pdf

https://www.cso.ie/en/media/csoie/releasespublications/documents/birthsdm/1998/babynames_1998.pdf

https://rollercoaster.ie/pregnancy/baby-names/these-were-the-top-girl-and-boy-baby-names-in-ireland-1990/",
ES_04,Spain,Carmen,Pilar,Teresa,Isabel,Ángeles,Luisa,Laura,Cristina,Marta,Sara,Andrea,Paula,Francisco,José,Antonio,Manuel,Fernando,Jesús,Daniel,Alejandro,David,Álvaro,Sergio,Adrián,Leo,Alex,-,-,-,-,veronica.sevillano@uam.es,Spain spanish,"We checked in the National Statistical Institute (www.ine.es) the most frequent names in 1960 and 1990 for males and females.
Link: https://www.ine.es/tnombres/formGeneralresult.do?vista=3",
DE_07,Germany/Bavaria,Angelika,Monika,Sabine,Petra,Karin,Gabriele,Mia,Emma,Hannah,Sophia,Emilia,Anna,Michael,Peter,Hans,Klaus,Wolfgang,Thomas,Ben,Leon,Paul,Jonas,Finn,Lukas,Alex,Chris,Lovis,Maxi,Toni,Flo,d.urschler@hs-doepfer.de,German,"We sampled the names from a list that indicats the most famous names per decade in Germany.

Older names: https://www.beliebte-vornamen.de/3770-1950er-jahre.htm

Younger names: https://www.beliebte-vornamen.de/26104-2010er-jahre.htm

Neutral names: https://www.vorname.com/das-sind-die-schoensten-unisex-vornamen.html",
DE_05,Germany,Brigitte,Dagmar,Ute,Erika,Roswitha,Doris,Emma,Lilly,Leonie,Alina,Mia,Janina,Reinhard,Heiner,Dietmar,Rüdiger,Klaus,Jürgen,Leon,Finn,Yannick,Sören,Linus,Nils,Toni,Maxi,Alex,Charlie,Kim,Chris,m.huff@iwm-tuebingen.de,German,"We used the male/female names from lab DE_01. For the unisex names, we picked six out of unisex names provided by the labs DE_01, DE_02, DE_03, DE_07",
PH_01,Philippines,Christina,Dolores,Teresa,Maria,Lourdes,Pilar,Christine,Michelle,Stephanie,Angelica,Bea,Nicole,Alberto,Ramon,Carlos,Daniel,Jaime,Nicanor,John,Angelo,Christian,Mark,Kenneth,Ryan,Jam,Alon,Lou,Andy,Diwa,Malaya,pplabor@up.edu.ph,English,"I could not find records of the most common names in the 1960s. So, I had to resort to basing the 1960s names on the original names of famous actors in the Philippines born in that decade. For the 1990s names, the only record I found was unfortunately from the Philippine Statistics Authority in 2005 (Source: https://psa.gov.ph/content/most-common-filipino-names-2005).  For the unisex names, I had to look at various websites that purported to list unisex Filipino names and picked from a variety of them.",
US_09,New York,Debra,Susan,Denise,Linda,Dawn,Renee,Krystal,Brianna,Ashley,Jessica,Brittany,Alyssa,Gary,Mitchell,Robert,Stuart,Randy,Edwin,Tyler,Zachary,Brandon,Antonio,Justin,Brett,Dylan,Jessie,Parker,Blake,Cameron,Angel,yanine.hess@purchase.edu,English,"For the gendered names, I used this website to generate the top 100 names for New York in 1960 and 1991: https://www.ssa.gov/cgi-bin/namesbystate.cgi
I only took names that appeared on the top 100 for their year but not the top 100 for the other.

For the unisex names, I looked at multiple results from Googling for Unisex names and took from the following sites:
https://www.goodhousekeeping.com/life/parenting/a31401884/gender-neutral-baby-names/
https://www.verywellfamily.com/unisex-baby-names-2759884
https://parade.com/1010084/marynliles/unisex-baby-names/",
CA_02,"Canada, British Columbia",Marie,Susan,Linda,Sandra,Deborah,Patricia,Emily,Sarah,Hannah,Olivia,Jessica,Madison,David,Robert,Joseph,John,Richard,James,Ethan,Matthew,Joshua,Jacob,Nicholas,Ryan,Quinn,Jordan,Jesse,Jamie,Alex,Sam,alan.kingstone@ubc.ca,English,Used records from Ontario and British Columbia (https://www.behindthename.com/top/lists/canada/1960),
CA_01,Canada,Marie,Susan,Deborah,Karen,Linda,Sandra,Emily,Sarah,Jessica,Hannah,Maddison,Olivia,David,Robert,Joseph,John,Richard,James,Matthew,Joshua,Nicholas,Jacob,Ryan,Daniel,Charlie,Riley,Sidney,Logan,Jordan,Mackenzie,tristanrenaud@cmail.carleton.ca,English,"The sample of names was selected from a list of popular birth names names for Canadian males and females (see link below). Older names were sourced from the 1960s and younger names were sourced from the 1990s.

The unisex names were self-generated. 

https://www.behindthename.com/top/lists/canada",
US_08,Donna,Mary,Cynthia,Deborah,Sandra,Linda,Donna,Ashley,Amanda,Jessica,Jennifer,Stephanie,Brittany,Dennis,Gary,Roger,Edwin,Barry,Curtis,Justin,Tyler,Jeremy,Cody,Matthew,Kyle,Jordan,Dylan,Jamie,Parker,Quinn,Casey,bradyst@wfu.edu,English,"For the gendered names, I used this website to generate the most common names in 1960 and 1991 in the states of NC, NY, FL, NJ, and PA (the most common states our participants will be from): https://www.ssa.gov/cgi-bin/namesbystate.cgi. I chose names that were common across states in one of the two years but much less common in the other year. For the unisex names, I looked at the unisex names already generated by labs in the United States and selected names from that pool.",
SE_01,Sweden,Maria,Eva,Susanne,Lena,Carina,Kristina,Emma,Sara,Elin,Amanda,Hanna,Johanna,Mikael,Anders,Peter,Thomas,Lars,Per,Markus,Erik,Simon,Alexander,Viktor,Oskar,Robin,Kim,Alex,Sam,Billie,Charlie,sofia.calderon@psy.gu.se,Swedish,Common Swedish names. Sources. https://www.alltomnamn.se/topplistor/popularaste-namnen-per-decennium/,
US_03,"Pennsylvania, USA",Lisa,Mary,Susan,Karen,Kimberly,Donna,Emily,Ashley,Jessica,Samantha,Sarah,Amanda,Michael,John,David,Robert,James,William,Matthew,Tyler,Nicholas,Christopher,Ryan,Joshua,Casey,Riley,Jessie,Jackie,Avery,Jaime,slaurent@psu.edu,English,"I Googled ""most popular names in Pennsylvania for women/men born in the 1960s/1990s"" and ""most popular unisex names in the United States."" The unisex names came from fivethirtyeight.com (a political website) and the rest came from lists compiled from Stacker.com.",
US_02,United States,Betty,Beverly,Rosemary,Wilma,Ruth,Mildred,Olivia,Emma,Ashley,Haley,Zoe,Britney,Earl,Ronald,Wilbur,Leonard,Herman,Herbert,Jonah,Oliver,Mason,Henry,Liam,Noah,Charlie,Sam,Chris,Avery,Jordan,Riley,rmccarthy3@niu.edu,English,I did an internet search for common names that met the criteria,
DE_06,Germany,Agnes,Margarethe,Käthe,Ruth,Wilhelmine,Irma,Marie,Hannah,Lena,Pia,Jana,Lea,Gustav,Karl,Kaspar,Franz,Rüdiger,Hagen,Ben,Finn,Henri,Leon,Niklas,Daniel,Toni,Charlie,Evin,Ola,Ulli,Malu,oliver.genschow@leuphana.de,German,"I googled for the names and looked up lists of old, young, and unisex names. After a larger selection of names, I selected those that I perceived as most prototypical old, young, and unisex withouth sounding weird and ugly.",
