StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,id_subject,id_internal,distance
2024-03-12 13:06:19,2024-03-12 13:07:34,0,100,75,1,2024-03-12 13:07:35,R_7PY7kCutYAQ0C14,anonymous,EN,12,57484,likelihood
2024-03-12 13:05:59,2024-03-12 13:07:39,0,100,100,1,2024-03-12 13:07:40,R_2plfgfHfq0VPmDe,anonymous,EN,011,90064,temporal
2024-03-12 13:29:13,2024-03-12 13:30:01,0,100,47,1,2024-03-12 13:30:01,R_3OcX4K6AAqAgHni,anonymous,EN,013,31738,spatial
2024-03-12 13:29:42,2024-03-12 13:30:32,0,100,50,1,2024-03-12 13:30:33,R_8mKqrLxLLDzOvBA,anonymous,EN,014,36794,social
2024-03-12 13:30:07,2024-03-12 13:30:42,0,100,35,1,2024-03-12 13:30:42,R_3e84vkb7IeNGwPI,anonymous,EN,015,39530,likelihood
2024-03-12 13:30:32,2024-03-12 13:31:06,0,100,33,1,2024-03-12 13:31:06,R_2AMe3J1XGbrsE62,anonymous,EN,016,60162,spatial
2024-03-12 13:31:21,2024-03-12 13:31:54,0,100,33,1,2024-03-12 13:31:55,R_8E6dcoAksoHSLqY,anonymous,EN,017,74529,temporal
2024-03-12 13:32:11,2024-03-12 13:32:55,0,100,43,1,2024-03-12 13:32:55,R_8JC9uBZITX0hHsR,anonymous,EN,018,47130,social
2024-03-12 13:44:22,2024-03-12 13:45:25,0,100,62,1,2024-03-12 13:45:26,R_8FhONIVzIoIzyT8,anonymous,EN,19,73510,social
2024-03-12 13:45:43,2024-03-12 13:47:22,0,100,99,1,2024-03-12 13:47:23,R_2esEwfmWy2wWAo8,anonymous,EN,20,30826,spatial
2024-03-12 13:48:50,2024-03-12 13:49:54,0,100,64,1,2024-03-12 13:49:55,R_5bJ4UfzLH7o5Ipb,anonymous,EN,022,52705,temporal
2024-03-12 13:50:08,2024-03-12 13:51:08,0,100,59,1,2024-03-12 13:51:08,R_8xVM5aTsbDuCTyf,anonymous,EN,23,16693,likelihood
2024-03-12 13:49:41,2024-03-12 13:51:43,0,100,122,1,2024-03-12 13:51:44,R_88zYpYexr4z1dKk,anonymous,EN,021,16505,social
2024-03-12 14:02:48,2024-03-12 14:03:34,0,100,46,1,2024-03-12 14:03:34,R_1HqmZFrI92jvsfT,anonymous,EN,024,38575,likelihood
2024-03-12 14:03:33,2024-03-12 14:04:14,0,100,41,1,2024-03-12 14:04:14,R_1EcWKSfeyM7Oq28,anonymous,EN,025,26525,temporal
2024-03-12 14:11:10,2024-03-12 14:12:01,0,100,51,1,2024-03-12 14:12:02,R_3FOu17RUpeNsWZn,anonymous,EN,026,30082,spatial
2024-03-12 14:10:15,2024-03-12 14:12:08,0,100,113,1,2024-03-12 14:12:09,R_4r1ja9dvDDK4Zvp,anonymous,EN,029,79119,social
2024-03-12 14:11:31,2024-03-12 14:13:50,0,100,139,1,2024-03-12 14:13:51,R_2JPKv74wYiIq1Al,anonymous,EN,30,78445,spatial
2024-03-12 14:32:01,2024-03-12 14:32:44,0,100,43,1,2024-03-12 14:32:45,R_25XZDLOIbrHoF5h,anonymous,EN,31,25633,likelihood
2024-03-12 14:32:31,2024-03-12 14:34:20,0,100,108,1,2024-03-12 14:34:20,R_2mfP7dhyHRd8X96,anonymous,EN,32,39271,temporal
2024-03-12 14:34:56,2024-03-12 14:35:33,0,100,37,1,2024-03-12 14:35:33,R_6FlBuBTwjsIqkmB,anonymous,EN,33,74756,spatial
2024-03-12 14:35:43,2024-03-12 14:37:22,0,100,99,1,2024-03-12 14:37:23,R_10G6G7p6bXQcO65,anonymous,EN,34,95471,temporal
2024-03-12 14:36:59,2024-03-12 14:38:13,0,100,74,1,2024-03-12 14:38:13,R_2Hxzje1tqX3le0x,anonymous,EN,36,18554,social
2024-03-12 14:38:01,2024-03-12 14:39:15,0,100,73,1,2024-03-12 14:39:15,R_3kvOFClKk27GEMY,anonymous,EN,36,88388,likelihood
2024-03-12 14:40:11,2024-03-12 14:41:39,0,100,88,1,2024-03-12 14:41:40,R_1CTNOkIZ3YCpQ8Q,anonymous,EN,037,16683,spatial
2024-03-12 14:41:50,2024-03-12 14:42:59,0,100,68,1,2024-03-12 14:43:00,R_7SidqQ0xIy2eqxn,anonymous,EN,38,44655,likelihood
2024-03-12 14:42:58,2024-03-12 14:43:49,0,100,50,1,2024-03-12 14:43:49,R_2DNdau9xcQUHc2K,anonymous,EN,040,51192,social
2024-03-12 14:43:35,2024-03-12 14:44:42,0,100,66,1,2024-03-12 14:44:42,R_1AWEdArxtq0ymFy,anonymous,EN,039,55696,temporal
2024-03-12 14:45:54,2024-03-12 14:46:45,0,100,50,1,2024-03-12 14:46:45,R_8resEZKR40pbp9T,anonymous,EN,041,19160,social
2024-03-12 15:00:18,2024-03-12 15:02:48,0,100,149,1,2024-03-12 15:02:48,R_3LeBXDiAm1dkmVy,anonymous,EN,042,95954,spatial
2024-03-12 15:05:04,2024-03-12 15:06:48,0,100,103,1,2024-03-12 15:06:49,R_5kivlmfjmrhKoOc,anonymous,EN,044,45758,temporal
2024-03-12 15:05:49,2024-03-12 15:07:19,0,100,89,1,2024-03-12 15:07:19,R_85CeIPSKQ5t84uZ,anonymous,EN,043,27238,likelihood
2024-03-12 15:30:36,2024-03-12 15:32:12,0,100,96,1,2024-03-12 15:32:12,R_2jdNaJEM3WcLE6d,anonymous,EN,045,29047,likelihood
2024-03-13 09:31:48,2024-03-13 09:33:40,0,100,111,1,2024-03-13 09:33:40,R_3EbdAYwaDqLCuGC,anonymous,EN,046,86181,social
2024-03-13 09:32:53,2024-03-13 09:34:49,0,100,116,1,2024-03-13 09:34:50,R_2L08ukhwqxOufSG,anonymous,EN,047,94516,temporal
2024-03-13 11:00:28,2024-03-13 11:02:09,0,100,100,1,2024-03-13 11:02:09,R_533JsNNA9O2gYt8,anonymous,EN,048,71301,spatial
2024-03-13 11:00:42,2024-03-13 11:02:23,0,100,100,1,2024-03-13 11:02:23,R_2n2rv9u83HBtgHf,anonymous,EN,49,53763,likelihood
2024-03-13 11:06:57,2024-03-13 11:07:46,0,100,49,1,2024-03-13 11:07:46,R_23jyWGcrnR1mMDi,anonymous,EN,51,17542,spatial
2024-03-13 11:06:36,2024-03-13 11:07:46,0,100,69,1,2024-03-13 11:07:46,R_5zzPMj5t6juYGlU,anonymous,EN,050,43257,temporal
2024-03-13 12:26:26,2024-03-13 12:28:57,0,100,151,1,2024-03-13 12:28:58,R_8PbHrCpoUwu84ty,anonymous,EN,052,83803,social
2024-03-13 12:26:57,2024-03-13 12:30:33,0,100,216,1,2024-03-13 12:30:33,R_2COAh6nHTMpZ3Xm,anonymous,EN,053,84917,likelihood
2024-03-13 12:27:20,2024-03-13 12:30:48,0,100,207,1,2024-03-13 12:30:48,R_1rG9spkwerewq8l,anonymous,EN,054,24162,social
2024-03-13 12:31:03,2024-03-13 12:31:24,0,100,20,1,2024-03-13 12:31:24,R_27JePHVdPL9rZst,anonymous,EN,055,80563,spatial
2024-03-13 13:35:40,2024-03-13 13:36:24,0,100,44,1,2024-03-13 13:36:25,R_3eDXQKBChDQIMeO,anonymous,EN,056,53925,temporal
2024-03-13 13:36:20,2024-03-13 13:37:43,0,100,82,1,2024-03-13 13:37:43,R_6OJr36hIZXhF7mz,anonymous,EN,058,42521,spatial
2024-03-13 13:37:26,2024-03-13 13:37:58,0,100,31,1,2024-03-13 13:37:58,R_1AXNqbAg3788sSQ,anonymous,EN,061,66279,temporal
2024-03-13 13:16:19,2024-03-13 13:38:14,0,100,1315,1,2024-03-13 13:38:15,R_6HzggqR5k7aIloe,anonymous,EN,060,59772,likelihood
2024-03-13 13:37:25,2024-03-13 13:38:45,0,100,79,1,2024-03-13 13:38:45,R_1EgGafuKtnJ28Nd,anonymous,EN,057,52696,social
2024-03-13 13:36:58,2024-03-13 13:38:53,0,100,115,1,2024-03-13 13:38:53,R_7lMswqhklI3FFJ1,anonymous,EN,059,29476,spatial
2024-03-13 14:03:56,2024-03-13 14:04:40,0,100,44,1,2024-03-13 14:04:41,R_50ZFhACK4IereQF,anonymous,EN,62,33887,likelihood
2024-03-13 14:03:34,2024-03-13 14:05:18,0,100,103,1,2024-03-13 14:05:18,R_22MvLOCbGLErNTA,anonymous,EN,064,27666,social
2024-03-13 14:03:48,2024-03-13 14:05:20,0,100,92,1,2024-03-13 14:05:20,R_2ZBwV36p1EMW0fl,anonymous,EN,066,23278,temporal
2024-03-13 14:04:36,2024-03-13 14:05:47,0,100,70,1,2024-03-13 14:05:47,R_7IGfibT5WxDluyx,anonymous,EN,065,18058,likelihood
2024-03-13 14:04:29,2024-03-13 14:06:33,0,100,123,1,2024-03-13 14:06:33,R_3y79DI3ne3TZTDV,anonymous,EN,063,29330,social
2024-03-13 14:13:27,2024-03-13 14:13:57,0,100,30,1,2024-03-13 14:13:57,R_1HTvGtOFw2z8gBr,anonymous,EN,67,52045,temporal
2024-03-13 15:57:05,2024-03-13 15:57:48,0,100,43,1,2024-03-13 15:57:49,R_2JLxzLvkHW8AXQW,anonymous,EN,68,61858,spatial
2024-03-14 10:54:32,2024-03-14 10:56:04,0,100,91,1,2024-03-14 10:56:04,R_5NBOik50MkhJFmI,anonymous,EN,069,63513,social
2024-03-14 11:04:10,2024-03-14 11:04:24,0,100,13,1,2024-03-14 11:04:24,R_714lR6dK2205Ynt,anonymous,EN,70,66714,spatial
2024-03-14 11:04:08,2024-03-14 11:05:04,0,100,56,1,2024-03-14 11:05:05,R_7hzimiOBV6abO7e,anonymous,EN,071,49695,temporal
2024-03-14 11:04:39,2024-03-14 11:05:25,0,100,45,1,2024-03-14 11:05:25,R_7HvmMPpYvCTTqw1,anonymous,EN,72,73376,likelihood
2024-03-14 11:04:42,2024-03-14 11:06:32,0,100,109,1,2024-03-14 11:06:33,R_7V4Bl5Iv31XPJiV,anonymous,EN,073,68623,social
2024-03-14 11:32:27,2024-03-14 11:33:35,0,100,67,1,2024-03-14 11:33:36,R_8fk3HzqqH2UcXUv,anonymous,EN,74,33551,temporal
2024-03-14 12:04:25,2024-03-14 12:05:35,0,100,69,1,2024-03-14 12:05:35,R_7OIQyqhZfPivlgw,anonymous,EN,076,90469,spatial
2024-03-14 12:05:12,2024-03-14 12:05:56,0,100,43,1,2024-03-14 12:05:56,R_7ivXaEIHXy5tmxa,anonymous,EN,75,80054,likelihood
2024-03-14 12:15:15,2024-03-14 12:32:39,0,100,1043,1,2024-03-14 12:32:40,R_8EsqComvPNzV15v,anonymous,EN,077,53957,spatial
2024-03-14 12:41:42,2024-03-14 12:42:04,0,100,22,1,2024-03-14 12:42:05,R_8cwkw51qq2v10cH,anonymous,EN,079,65852,social
2024-03-14 12:42:13,2024-03-14 12:43:37,0,100,84,1,2024-03-14 12:43:38,R_8EnQt2swxgHg412,anonymous,EN,078,23444,temporal
2024-03-14 12:42:50,2024-03-14 12:44:16,0,100,86,1,2024-03-14 12:44:17,R_6q5F2vMAjY0VjIl,anonymous,EN,080,82772,likelihood
2024-03-14 12:44:00,2024-03-14 12:45:04,0,100,64,1,2024-03-14 12:45:05,R_3f7ArbCLMwatxZ4,anonymous,EN,081,85219,temporal
2024-03-14 13:22:53,2024-03-14 13:23:12,0,100,18,1,2024-03-14 13:23:13,R_3QzHEc1bV5bHxus,anonymous,EN,082,79135,likelihood
2024-03-14 13:23:35,2024-03-14 13:23:52,0,100,16,1,2024-03-14 13:23:52,R_3Ez4lNydEv3qjmn,anonymous,EN,083,85266,social
2024-03-14 13:41:37,2024-03-14 13:42:22,0,100,45,1,2024-03-14 13:42:23,R_773Q4AMWdZetOWl,anonymous,EN,084,82023,spatial
2024-03-14 13:42:28,2024-03-14 13:42:51,0,100,22,1,2024-03-14 13:42:51,R_2DMvt6ATErUoWhs,anonymous,EN,085,17294,social
2024-03-15 09:56:12,2024-03-15 09:57:34,0,100,82,1,2024-03-15 09:57:35,R_2xfxVo5biGwlxN7,anonymous,EN,086,62249,temporal
2024-03-15 09:56:13,2024-03-15 09:57:40,0,100,87,1,2024-03-15 09:57:41,R_4SCahHXyH1RRUBC,anonymous,EN,087,74260,likelihood
2024-03-15 10:01:38,2024-03-15 10:02:20,0,100,41,1,2024-03-15 10:02:20,R_8D016Ho5tCjCpog,anonymous,EN,089,42748,spatial
2024-03-15 10:02:10,2024-03-15 10:03:28,0,100,77,1,2024-03-15 10:03:28,R_83rv7jDtFFbNLNj,anonymous,EN,088,93791,spatial
2024-03-15 11:02:19,2024-03-15 11:03:52,0,100,93,1,2024-03-15 11:03:53,R_4lGraX4abfcUHx4,anonymous,EN,090,70720,social
2024-03-18 09:34:23,2024-03-18 09:36:19,0,100,116,1,2024-03-18 09:36:20,R_3ex8waNjXQ79gxd,anonymous,EN,091,40898,likelihood
2024-03-18 09:40:40,2024-03-18 09:41:36,0,100,56,1,2024-03-18 09:41:36,R_2MUQbhCS5IgIU5b,anonymous,EN,092,87198,temporal
2024-03-18 09:41:24,2024-03-18 09:42:08,0,100,43,1,2024-03-18 09:42:08,R_3p0IeK1EwfcidFf,anonymous,EN,093,11341,likelihood
2024-03-18 09:42:03,2024-03-18 09:43:01,0,100,57,1,2024-03-18 09:43:01,R_2SUqeoJSIkSS6WJ,anonymous,EN,094,94174,social
2024-03-18 09:42:47,2024-03-18 09:43:11,0,100,24,1,2024-03-18 09:43:12,R_1kvRGyXrjBYXUX5,anonymous,EN,095,49178,spatial
2024-03-18 09:43:17,2024-03-18 09:44:05,0,100,47,1,2024-03-18 09:44:05,R_1i9h9Roiw0L5su5,anonymous,EN,096,80712,temporal
2024-03-18 09:43:41,2024-03-18 09:44:09,0,100,27,1,2024-03-18 09:44:10,R_7rMi1YnHZfXBkWc,anonymous,EN,097,98659,spatial
2024-03-18 10:59:56,2024-03-18 11:01:04,0,100,68,1,2024-03-18 11:01:05,R_8ngPKbNveGtWvlL,anonymous,EN,98,30238,social
2024-03-18 10:59:43,2024-03-18 11:01:04,0,100,81,1,2024-03-18 11:01:05,R_6GIMdDgZnAfCzXH,anonymous,EN,099,83339,social
2024-03-18 14:35:11,2024-03-18 14:36:08,0,100,57,1,2024-03-18 14:36:09,R_2JKMhwxkC7evLqe,anonymous,EN,100,54492,temporal
2024-03-18 14:35:53,2024-03-18 14:36:39,0,100,45,1,2024-03-18 14:36:39,R_32MwfZX37faRsvY,anonymous,EN,101,26743,likelihood
2024-03-18 15:02:52,2024-03-18 15:04:21,0,100,88,1,2024-03-18 15:04:21,R_8gAyI9VFoMvVf5x,anonymous,EN,102,16602,likelihood
2024-03-18 16:07:03,2024-03-18 16:08:38,0,100,94,1,2024-03-18 16:08:38,R_2J7XPBEpbTkT8it,anonymous,EN,103,82054,temporal
2024-03-20 10:32:19,2024-03-20 10:33:18,0,100,58,1,2024-03-20 10:33:18,R_8rptPT26lngvEQ7,anonymous,EN,104,41526,spatial
2024-03-20 10:39:09,2024-03-20 10:40:07,0,100,58,1,2024-03-20 10:40:07,R_2jNzmOK9xBS3CHn,anonymous,EN,105,33101,social
2024-03-20 11:31:30,2024-03-20 11:32:35,0,100,64,1,2024-03-20 11:32:36,R_2Hiao39BTYwtCzw,anonymous,EN,108,60411,temporal
2024-03-20 11:32:00,2024-03-20 11:32:49,0,100,48,1,2024-03-20 11:32:49,R_3JdXjuN2qfelYRG,anonymous,EN,107,63746,spatial
2024-03-20 11:32:35,2024-03-20 11:32:57,0,100,21,1,2024-03-20 11:32:57,R_41hU6MjY8BaUcit,anonymous,EN,110,80733,likelihood
2024-03-20 11:31:31,2024-03-20 11:33:25,0,100,114,1,2024-03-20 11:33:26,R_3g4RlqfXvisG3pS,anonymous,EN,106,92142,temporal
2024-03-20 11:32:05,2024-03-20 11:33:31,0,100,86,1,2024-03-20 11:33:32,R_2R8nG8Sn7MS6PRp,anonymous,EN,109,85675,likelihood
2024-03-20 11:34:43,2024-03-20 11:36:03,0,100,80,1,2024-03-20 11:36:03,R_7FDER7R1l5e3hjY,anonymous,EN,112,43954,spatial
2024-03-20 12:01:00,2024-03-20 12:01:46,0,100,46,1,2024-03-20 12:01:46,R_2z77gx2Aphzp4c6,anonymous,EN,115,45721,social
2024-03-20 12:01:18,2024-03-20 12:02:04,0,100,46,1,2024-03-20 12:02:05,R_4PzEkHlbJU90KBc,anonymous,EN,114,86122,likelihood
2024-03-20 12:00:36,2024-03-20 12:02:08,0,100,92,1,2024-03-20 12:02:09,R_8fOFzi6LAqm8hEJ,anonymous,EN,116,15222,spatial
2024-03-20 12:01:34,2024-03-20 12:02:34,0,100,59,1,2024-03-20 12:02:34,R_2l4Cik4DwQ0Xt8z,anonymous,EN,111,66870,social
2024-03-20 12:01:50,2024-03-20 12:02:38,0,100,47,1,2024-03-20 12:02:38,R_2WSZugGijBNalPp,anonymous,EN,113,81358,temporal
2024-03-20 12:04:14,2024-03-20 12:05:16,0,100,61,1,2024-03-20 12:05:17,R_7bP4sr1GwnSlwKy,anonymous,EN,117,81144,social
2024-03-20 12:09:10,2024-03-20 12:11:07,0,100,117,1,2024-03-20 12:11:08,R_1rGHdCnC8WczdOV,anonymous,EN,118,66470,temporal
2024-03-20 13:03:27,2024-03-20 13:05:08,0,100,101,1,2024-03-20 13:05:08,R_37yrs7Cadv9sWQn,anonymous,EN,119,96153,likelihood
2024-03-20 13:29:36,2024-03-20 13:30:00,0,100,23,1,2024-03-20 13:30:00,R_6BlH25RWfrvYH9z,anonymous,EN,121,29048,spatial
2024-03-20 13:28:51,2024-03-20 13:30:32,0,100,101,1,2024-03-20 13:30:33,R_4VjNKDeLfYNtV2V,anonymous,EN,120,63591,temporal
2024-03-20 13:31:35,2024-03-20 13:31:51,0,100,15,1,2024-03-20 13:31:52,R_2hzFXkC0ugl2n7Y,anonymous,EN,122,90435,likelihood
2024-03-20 13:32:06,2024-03-20 13:32:22,0,100,16,1,2024-03-20 13:32:23,R_1q0VqzHuoiTSozD,anonymous,EN,123,76110,spatial
2024-03-20 14:07:39,2024-03-20 14:08:00,0,100,20,1,2024-03-20 14:08:01,R_69TUVjoxCFJ9fEJ,anonymous,EN,124,61756,social
2024-03-20 14:16:52,2024-03-20 14:17:37,0,100,45,1,2024-03-20 14:17:38,R_3LZAbObq7V4ATkd,anonymous,EN,125,15895,temporal
2024-03-20 15:05:04,2024-03-20 15:05:45,0,100,40,1,2024-03-20 15:05:45,R_2fqHmllSHPPrvS4,anonymous,EN,126,39513,spatial
2024-03-21 10:37:57,2024-03-21 10:39:17,0,100,80,1,2024-03-21 10:39:18,R_2iWl9AWPoSlnuOd,anonymous,EN,127,85709,social
2024-03-21 10:46:16,2024-03-21 10:47:01,0,100,44,1,2024-03-21 10:47:01,R_5RWyuY2KXI5EOPf,anonymous,EN,130,52606,likelihood
2024-03-21 10:47:07,2024-03-21 10:48:52,0,100,105,1,2024-03-21 10:48:53,R_31XT911FjH9WW41,anonymous,EN,129,99501,likelihood
2024-03-21 10:48:43,2024-03-21 10:49:16,0,100,32,1,2024-03-21 10:49:16,R_7iep9OIp9FkijPc,anonymous,EN,128,69565,spatial
2024-03-21 11:58:43,2024-03-21 12:00:53,0,100,130,1,2024-03-21 12:00:54,R_1eRUS0STz6tmUIs,anonymous,EN,131,30311,temporal
2024-03-21 12:59:27,2024-03-21 13:00:34,0,100,66,1,2024-03-21 13:00:34,R_6lRDwxjurP2PYj3,anonymous,EN,132,34575,social
2024-03-21 13:02:40,2024-03-21 13:03:33,0,100,52,1,2024-03-21 13:03:33,R_1ZYBAqychAe20wN,anonymous,EN,133,31233,temporal
2024-03-21 13:03:16,2024-03-21 13:04:10,0,100,53,1,2024-03-21 13:04:10,R_8UVHSCq52enrqEG,anonymous,EN,134,10689,social
2024-03-21 13:04:53,2024-03-21 13:05:54,0,100,60,1,2024-03-21 13:05:54,R_2EQD78IoiiHHTDQ,anonymous,EN,135,19902,spatial
2024-03-21 13:05:35,2024-03-21 13:06:08,0,100,33,1,2024-03-21 13:06:08,R_1h5yjAVmTQbNYhE,anonymous,EN,137,12502,likelihood
2024-03-21 13:05:20,2024-03-21 13:06:41,0,100,80,1,2024-03-21 13:06:41,R_1JR3uGAoD0ePQps,anonymous,EN,136,62666,spatial
2024-03-21 13:06:12,2024-03-21 13:07:24,0,100,72,1,2024-03-21 13:07:25,R_1aXHtu2QJHxDdsk,anonymous,EN,138,73121,likelihood
2024-03-21 13:43:06,2024-03-21 13:45:24,0,100,137,1,2024-03-21 13:45:25,R_20ifNIJsD1dKhSF,anonymous,EN,139,38096,social
2024-03-21 13:59:40,2024-03-21 14:01:34,0,100,114,1,2024-03-21 14:01:35,R_7hFCmCbHSOcQUEh,anonymous,EN,140,55270,temporal
2024-03-21 17:29:38,2024-03-21 17:30:39,0,100,60,1,2024-03-21 17:30:39,R_8KNjYVFYGPHLnVJ,anonymous,EN,141,79867,temporal
2024-03-22 11:05:04,2024-03-22 11:05:38,0,100,33,1,2024-03-22 11:05:38,R_2cfj0y54YufRB9T,anonymous,EN,142,20407,likelihood
2024-03-22 11:06:54,2024-03-22 11:07:43,0,100,48,1,2024-03-22 11:07:43,R_3Ceo3hYyCFYjPF2,anonymous,EN,143,49967,spatial
2024-03-22 11:38:24,2024-03-22 11:39:11,0,100,46,1,2024-03-22 11:39:11,R_5bKdqKeTTkT7gOJ,anonymous,EN,144,91323,social
2024-03-22 18:01:33,2024-03-22 18:02:30,0,100,56,1,2024-03-22 18:02:30,R_8hg23GGm0VteSPf,anonymous,EN,145,96256,spatial
2024-03-20 14:16:05,2024-03-20 14:16:22,0,50,16,0,2024-03-27 14:16:43,R_2QcqlObI5pv2sQP,anonymous,EN,,61341,
